SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_ID
42024,203999,0042400227,"May 18, 2025",DEN @ OKC,L,37,5,9,0.556,1,2,0.5,9,11,0.818,1,8,9,7,0,0,5,3,20,-23,1,203999
42024,203999,0042400226,"May 15, 2025",DEN vs. OKC,W,41,9,14,0.643,1,3,0.333,10,12,0.833,1,13,14,8,2,1,1,4,29,11,1,203999
42024,203999,0042400225,"May 13, 2025",DEN @ OKC,L,44,17,25,0.68,5,7,0.714,5,5,1.0,6,9,15,5,2,0,2,4,44,-8,1,203999
42024,203999,0042400224,"May 11, 2025",DEN vs. OKC,L,43,7,22,0.318,2,8,0.25,11,14,0.786,0,13,13,3,4,0,2,4,27,1,1,203999
42024,203999,0042400223,"May 09, 2025",DEN vs. OKC,W,44,8,25,0.32,0,10,0.0,4,4,1.0,2,14,16,6,2,2,8,2,20,5,1,203999
42024,203999,0042400222,"May 07, 2025",DEN @ OKC,L,32,6,16,0.375,2,4,0.5,3,5,0.6,3,5,8,6,1,1,6,6,17,-36,1,203999
42024,203999,0042400221,"May 05, 2025",DEN @ OKC,W,42,15,29,0.517,2,6,0.333,10,13,0.769,5,17,22,6,1,2,7,5,42,10,1,203999
42024,203999,0042400177,"May 03, 2025",DEN vs. LAC,W,32,6,14,0.429,1,2,0.5,3,4,0.75,0,10,10,8,3,1,5,5,16,16,1,203999
42024,203999,0042400176,"May 01, 2025",DEN @ LAC,L,42,11,22,0.5,2,4,0.5,1,2,0.5,1,6,7,8,3,1,4,3,25,1,1,203999
42024,203999,0042400175,"Apr 29, 2025",DEN vs. LAC,W,37,4,13,0.308,1,4,0.25,4,5,0.8,1,9,10,12,1,2,2,1,13,18,1,203999
42024,203999,0042400174,"Apr 26, 2025",DEN @ LAC,W,43,14,25,0.56,3,6,0.5,5,6,0.833,5,16,21,8,2,1,2,4,36,4,1,203999
42024,203999,0042400173,"Apr 24, 2025",DEN @ LAC,L,37,9,14,0.643,2,3,0.667,3,4,0.75,1,12,13,13,1,0,2,1,23,-20,1,203999
42024,203999,0042400172,"Apr 21, 2025",DEN vs. LAC,L,43,8,16,0.5,4,8,0.5,6,10,0.6,3,8,11,10,3,0,7,2,26,0,1,203999
42024,203999,0042400171,"Apr 19, 2025",DEN vs. LAC,W,46,12,24,0.5,1,4,0.25,4,6,0.667,0,9,9,12,3,1,2,4,29,10,1,203999
42023,203999,0042300237,"May 19, 2024",DEN vs. MIN,L,47,13,28,0.464,2,10,0.2,6,7,0.857,6,13,19,7,0,1,3,2,34,-9,1,203999
42023,203999,0042300236,"May 16, 2024",DEN @ MIN,L,36,9,19,0.474,0,4,0.0,4,4,1.0,5,4,9,2,0,0,3,1,22,-25,1,203999
42023,203999,0042300235,"May 14, 2024",DEN vs. MIN,W,41,15,22,0.682,2,3,0.667,8,9,0.889,0,7,7,13,2,1,0,2,40,21,1,203999
42023,203999,0042300234,"May 12, 2024",DEN @ MIN,W,39,15,26,0.577,1,5,0.2,4,6,0.667,2,5,7,7,3,1,4,4,35,3,1,203999
42023,203999,0042300233,"May 10, 2024",DEN @ MIN,W,38,10,18,0.556,1,3,0.333,3,4,0.75,4,10,14,9,3,3,3,3,24,30,1,203999
42023,203999,0042300232,"May 06, 2024",DEN vs. MIN,L,39,5,13,0.385,0,1,0.0,6,6,1.0,6,10,16,8,0,1,4,2,16,-16,1,203999
42023,203999,0042300231,"May 04, 2024",DEN vs. MIN,L,41,11,25,0.44,2,9,0.222,8,8,1.0,1,7,8,9,3,0,7,4,32,-12,1,203999
42023,203999,0042300155,"Apr 29, 2024",DEN vs. LAL,W,41,12,21,0.571,1,5,0.2,0,0,0.0,2,18,20,9,0,0,7,1,25,7,1,203999
42023,203999,0042300154,"Apr 27, 2024",DEN @ LAL,L,41,10,20,0.5,2,5,0.4,11,11,1.0,5,9,14,14,1,1,3,4,33,-7,1,203999
42023,203999,0042300153,"Apr 25, 2024",DEN @ LAL,W,39,9,13,0.692,0,1,0.0,6,7,0.857,5,10,15,9,1,0,3,4,24,4,1,203999
